0,1
equipe administration ,"general information:  Pour mener à bien ses missions et assurer le fonctionnement de l'établissement, l'administration l’ENSAH s’articule autour de plusieurs services administratifs et techniques chapotés par la direction. L'organisation décrite dans cette page vous permet de mieux comprendre l’organisation de l’ENSAH ainsi que la découverte des différentes unités qui structurent notre établissement."
equipe administration,La directrice / directeur : Pr. Khadija HABOUBI
equipe administration,Le Directeur Adjoint : Pr. Anass EL HADDADI
equipe administration,Le Secrétaire Général : Pr. Mohamed ZARYOUHI
equipe administration,Secrétariat de Direction: BALGUARTIT Malika
equipe administration,Service Économique : Bilal BOUAISS - Taoufik CHOUKRI - Fatima AMALLAH
equipe administration,Service Informatique : Amar AMAKSSOUM - Mustapha EL YOUSFI - El mansouri Abdelmoughit
equipe administration,Service Internat : Mohamed AKOUH - Redouan INAHNAH - Samia EL JINANI
equipe administration,Service Bibliothèque : Mekki CHEIKH
equipe administration,Service Laboratoires : Omar BENAMARI
equipe administration,Service Planification : Lakhdar MAAZOUZI - Mohamed El mathari
equipe administration,Service Ressources humaines : Mohamed ZARYOUHI
equipe administration,Service Scolarité : Miloud ABOUD - Mohamed AZNAG
