0,1
site web d'ensah et e-service,cree par Monsieur Tarik BOUDAA
Introduction à e-Services," Présente le but et le concept global de la plateforme e-Services, soulignant son rôle comme ENT personnalisé.pour  l'acceder https://ensah.ma/apps/eservices/public/login.php"
Fonctionnalités de communication et d’administration d’e-Services,"Décrit les outils de communication et les fonctionnalités administratives, comme la gestion des demandes administratives et les démarches en ligne pour les étudiants."
Gestion de la résidence universitaire avec e-Services ," Explique les fonctionnalités liées à la gestion de la résidence universitaire, notamment les cartes de restaurant, les réservations et la base de données des résidents."
Accès centralisé aux ressources universitaires via e-Services," : Décrit l'accès centralisé aux actualités internes, au catalogue de la bibliothèque, aux rapports de PFE, aux emplois du temps, et à d’autres ressources."
Amélioration continue d’e-Services ,: Met en avant les efforts d’amélioration continue de la plateforme et invite à la contribution et aux propositions des utilisateurs.
e-Services pour l’apprentissage à distance et la gestion académique.," : Aborde les fonctionnalités pour la gestion des cours à distance, le partage de contenu pédagogique et les notifications facilitant l'accès aux étudiants"
C’est quoi mon nom d'utilisateur (login) dans e-service pour le loging ,"Pour les étudiants le nom d'utilisateur est le CNE ou Code Massar.
Pour le personnel de l'établissement prière de contacter l'administrateur de l'application par email

"
"Problème de mot de passe dans e-service
","En cas d’oubli de mot de passe ou pour avoir un nouveau compte (les nouveaux étudiants), il suffit de cliquer sur ce lien : https://ensah.ma/apps/eservices/public/demandeReinitPswdForm.php
Un email contenant un lien de réinitialisation (d’une durée de validité limitée) vous sera envoyé. Si vous avez oublié également le mot de passe de votre boite de messagerie. tu peut utiliser :Le nom d'utilisateur est le code MASSAR/CNE."
"Comment avoir un compte e-services
","Personnel de l'établissement:Veuillez nous contacter sur l'adresse email : a.amakssoum@uae.ac.ma  , Etudiants
Tout étudiant inscrit à l’ENSAH : possède déjà un compte e-services, pour l’avoir il suffit de de cliquer sur https://ensah.ma/apps/eservices/public/demandeReinitPswdForm.php"
Photo d’identité des étudiants dans  e-service,La photo d’identité sur e-service doit être une photo professionnelle valide (et non pas une photo destinée aux réseaux sociaux). Les comptes e-services associés à des photos non valides seront bloqués
"Autres Questions et Problèmes sur  e-service
","Pour tout problème ou question lié à e-services, vous pouvez contacter le service informatique par email à l’adresse : a.amakssoum@uae.ac.ma en joignant à votre email ; si vous êtes un étudiant;une image de votre carte d’identité et/ou la carte d’étudiant et en indiquant votre nom, prénom et CNE."
problèmes d'accès à e-Services,"Problème de mot de passe e-services Premier cas : Vous avez oublié le mot de passe de e-services mais vous avez accès à l'email personnel ou l'email institutionnel
En cas d’oubli de mot de passe ou pour avoir un nouveau compte (les nouveaux étudiants), il suffit de cliquer sur ce lien
Un email contenant un lien de réinitialisation (d’une durée de validité limitée) vous sera envoyé vers votre email personnel et/ou institutionnel. Si vous n'avez reçu un email prière de vérifier le dossier SPAM
Deuxième cas : Vous avez oublié le mot de passe de e-services et vous n'avez pas accès à vos emails pesonnel et institutionnel
Si vous avez oublié également le mot de passe de vos boites de messagerie personnelle et institutionnelle:
Remplir tous les champs une formulaire ,l'imprimer, le signer et le scanner puis l'envoyer par email à (a.amakssoum@uae.ac.ma). N'oubliez pas d'indiquer dans le corps de l'email votre nom, prénom et cne.
ATTENTION: les demandes ne respectant pas ces consignes seront igonorées.
N.B : Le traitement de ces demandes peut prendre du temps. Il faudrait donc faire le nécessaire pour ne pas oublier le mot de passe de votre boite de récupération"
